id,headline,person,stages,investment_locations,location,position,min_investment,max_investment,target_investment,headline,previous_position,previous_firm,areas_of_interest_freeform,no_current_interest_freeform,vote_count,firm,degrees,investments_on_record
7083,General Partner at Lux Capital,Bilal Zuberi,Series A,San Francisco Bay Area,"Palo Alto, California",general_partner,500000,50000000,25000000,General Partner at Lux Capital,,,,,14,Lux Capital Management,"{'id': '3769', 'name': 'Ph.D.', 'field_of_study': 'Physical Chemistry', 'school': {'id': '25264', 'name': 'Massachusetts Institute of Technology', 'display_name': 'Massachusetts Institute of Technology', 'total_student_count': 116}}","{'id': '40829', 'company_display_name': 'Veo Robotics', 'total_raised': ['$24M'], 'coinvestor_names': ['Andrew Wheeler (GV (Google Ventures))'], 'investor_profile_funding_rounds': [{'id': '3504', 'is_lead': True, 'board_role': None, 'funding_round': {'id': '1865', 'stage': 'Series A', 'date': '2017-10-18T00:00:00Z', 'amount': '$12M'}}, {'id': '65832', 'is_lead': True, 'board_role': None, 'funding_round': {'id': '35121', 'stage': 'Venture Round', 'date': '2017-10-18T00:00:00Z', 'amount': '$12M'}}]}"
11550,,Aaron Holiday,Seed,"New York, New York","New York, New York",general_partner,250000,1500000,500000,,,,,,26,645 Ventures,"{'id': '5338', 'name': 'MBA', 'field_of_study': 'Venture Capital', 'school': {'id': '28830', 'name': 'Cornell University - S.C. Johnson Graduate School of Management', 'display_name': 'Cornell University - S.C. Johnson Graduate School of Management', 'total_student_count': 6}}","{'id': '49480', 'company_display_name': 'Squire', 'total_raised': ['$140M'], 'coinvestor_names': ['Reid Christian (CRV)', 'Schwark Satyavolu (Trinity Ventures)', 'Igor Ryabenkiy (Altair Capital Management)', 'John Lin (F-Prime Capital Partners)', 'Nnamdi Okike (645 Ventures)', 'John Curtius (Cedar Capital Group)', 'Steph Curry (Penny Jar Capital)', 'Trevor Noah'], 'investor_profile_funding_rounds': [{'id': '51727', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '26333', 'stage': 'Series A', 'date': '2019-04-30T00:00:00Z', 'amount': '$8M'}}]}"
9431,General Partner @ Flybridge & Co-Founder @ The Community Fund,Jesse Middleton,Pre-seed,"Boston, Massachusetts","New York, New York",general_partner,250000,3000000,1000000,General Partner @ Flybridge & Co-Founder @ The Community Fund,,,,,11,Flybridge Capital Partners,"{'id': '5650', 'name': None, 'field_of_study': None, 'school': {'id': '29200', 'name': 'Drexel University', 'display_name': 'Drexel University', 'total_student_count': 6}}","{'id': '23199', 'company_display_name': 'Teal', 'total_raised': ['$7.8M'], 'coinvestor_names': ['Peter Thiel (Founders Fund)', 'Dan Teran (Gutter Capital)', 'Steven Rosenblatt (Oceans)', 'Jay Levy (Zelkova Ventures)', 'Trace Cohen (New York Venture Partners (NYVP))'], 'investor_profile_funding_rounds': [{'id': '61628', 'is_lead': True, 'board_role': None, 'funding_round': {'id': '20944', 'stage': 'Seed Round', 'date': '2015-12-15T00:00:00Z', 'amount': '$2.8M'}}]}"
13350,Head of NFX Bio at NFX,Omri Amirav Drory,Pre-seed,San Francisco Bay Area,San Francisco Bay Area,general_partner,500000,5000000,3000000,Head of NFX Bio at NFX,,,,,10,NFX,"{'id': '7356', 'name': 'Postdoc', 'field_of_study': 'Neuroscience', 'school': {'id': '25320', 'name': 'Stanford University School of Medicine', 'display_name': 'Stanford University School of Medicine', 'total_student_count': 5}}","{'id': '58181', 'company_display_name': 'EdiTy Therapeutics', 'total_raised': [], 'coinvestor_names': ['Gita Reinitz (NFX)', 'Sharon Azulai'], 'investor_profile_funding_rounds': [{'id': '106812', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '41207', 'stage': 'Seed Round', 'date': '2021-05-04T08:00:00Z', 'amount': '0'}}]}"
5786,"Co-founder GP at Reach Capital, former teacher",Jennifer Carolan,Series A,"San Francisco, California","Palo Alto, California",general_partner,1000000,10000000,5000000,"Co-founder GP at Reach Capital, former teacher",,,,,16,Reach Capital,"{'id': '5625', 'name': 'MA', 'field_of_study': 'Curriculum and Teacher Education', 'school': {'id': '25223', 'name': 'Stanford University', 'display_name': 'Stanford University', 'total_student_count': 428}}","{'id': '10274', 'company_display_name': 'Moxxly', 'total_raised': [], 'coinvestor_names': ['Randi Zuckerberg (Offline Ventures)', 'Tony L. Chen (CASC Ventures)', 'Chloe Sladden (#ANGELS (Hashtag ANGELS))', 'Jennifer Gill Roberts (Grit Ventures)'], 'investor_profile_funding_rounds': [{'id': '39982', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '22442', 'stage': 'Seed Round', 'date': '2015-06-15T00:00:00Z', 'amount': '0'}}]}"
9432,General Partner & Founding Engineer at Array Ventures,Shruti Gandhi,Series A,Canada,"San Francisco, California",general_partner,250000,2000000,1125000,General Partner & Founding Engineer at Array Ventures,,,,,18,Array Ventures,,"{'id': '20528', 'company_display_name': 'Mapistry', 'total_raised': ['$2.5M'], 'coinvestor_names': ['Morris Wheeler (Drummond Road Capital)', 'Jason Lemkin'], 'investor_profile_funding_rounds': [{'id': '31332', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '18641', 'stage': 'Seed Round', 'date': '2018-05-13T00:00:00Z', 'amount': '$2.5M'}}]}"
6753,Founding Partner at Lobby Capital,David Hornik,Seed,San Francisco Bay Area,"Menlo Park, California",general_partner,100000,10000000,5000000,Founding Partner at Lobby Capital,,,,,29,Lobby Capital,"{'id': '2462', 'name': 'JD', 'field_of_study': 'Law', 'school': {'id': '27654', 'name': 'Harvard Law School', 'display_name': 'Harvard Law School', 'total_student_count': 25}}","{'id': '11342', 'company_display_name': 'Aardvark', 'total_raised': ['$6.1M'], 'coinvestor_names': ['Auren Hoffman (Flex Capital)', 'Michael Dearing (Harrison Metal)', 'Xinhong Lim (Vickers Venture Partners)', 'Bobby Yazdani (Cota Capital)', 'Shervin Pishevar'], 'investor_profile_funding_rounds': [{'id': '7721', 'is_lead': True, 'board_role': {'id': '3114', 'title': 'Member of the Board of Directors'}, 'funding_round': {'id': '2368', 'stage': 'Series A', 'date': '2008-10-01T00:00:00Z', 'amount': '$5.3M'}}]}"
12277,General Partner at OCA Ventures,Tamim Abdul,Pre-seed,"San Francisco, California","Austin, Texas",general_partner,50000,4000000,2000000,General Partner at OCA Ventures,,,,,22,OCA Ventures,"{'id': '5956', 'name': 'BS', 'field_of_study': 'Management and Accounting, Finance Minor', 'school': {'id': '25288', 'name': 'Purdue University', 'display_name': 'Purdue University', 'total_student_count': 30}}","{'id': '78495', 'company_display_name': 'Roq.ad', 'total_raised': ['$7M'], 'coinvestor_names': [], 'investor_profile_funding_rounds': [{'id': '134680', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '73243', 'stage': 'Series A', 'date': '2022-06-16T00:00:00Z', 'amount': '$7M'}}]}"
11224,General Partner at Fika Ventures,Tx Zhuo,Series B,"San Francisco, California","Los Angeles, California",general_partner,1000000,10000000,3000000,General Partner at Fika Ventures,,,,,7,Fika Ventures,,"{'id': '50611', 'company_display_name': 'Papaya', 'total_raised': ['$78M'], 'coinvestor_names': ['Andrew Reed (Sequoia Capital)', 'Charles Birnbaum (Bessemer Venture Partners)', 'Rob Hayes (First Round Capital)', 'Tal Keinan (Dynamic Loop Capital)', 'Omar Hamoui (Mucker Capital)', 'Lauren Kolodny (aCrew Capital)', 'Sebastien de Halleux (Graph Ventures)', 'Mike Hudack', 'Azeem Azhar', 'Oscar Pierre'], 'investor_profile_funding_rounds': [{'id': '82157', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '20836', 'stage': 'Seed Round', 'date': '2018-02-02T00:00:00Z', 'amount': '$3M'}}]}"
5903,General Partner at Boldstart Ventures,Eliot Durbin,Seed,"Miami, Florida","Miami, Florida",general_partner,250000,2000000,1000000,General Partner at Boldstart Ventures,,,,,10,Boldstart Ventures,"{'id': '5184', 'name': 'Post Grad - Study', 'field_of_study': 'Finance, Accounting, Statistics, Economics', 'school': {'id': '25682', 'name': 'Columbia University in the City of New York', 'display_name': 'Columbia University in the City of New York', 'total_student_count': 76}}","{'id': '23590', 'company_display_name': 'Divide', 'total_raised': ['$25M'], 'coinvestor_names': ['Brad Svrluga (Primary Venture Partners)', 'Gil Beyda (Comcast Ventures)', 'David Zilberman (Norwest Venture Partners)'], 'investor_profile_funding_rounds': [{'id': '59816', 'is_lead': None, 'board_role': {'id': '3674', 'title': 'Investor'}, 'funding_round': {'id': '3739', 'stage': 'Seed Round', 'date': '2010-10-01T00:00:00Z', 'amount': '$2M'}}]}"
5554,General Partner at Haystack,Semil Shah,Pre-seed,"Menlo Park, California","Menlo Park, California",general_partner,250000,1500000,875000,General Partner at Haystack,,,,,20,Haystack,"{'id': '4994', 'name': ""Master's"", 'field_of_study': 'Economic Development and Strategy', 'school': {'id': '25380', 'name': 'Harvard University', 'display_name': 'Harvard University', 'total_student_count': 175}}","{'id': '53294', 'company_display_name': 'Gyroscope Innovations', 'total_raised': ['$700K'], 'coinvestor_names': ['Jyri Engestrom (Yes VC)'], 'investor_profile_funding_rounds': [{'id': '66009', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '36828', 'stage': 'Angel Round', 'date': '2015-03-18T00:00:00Z', 'amount': '0'}}]}"
9017,General Partner at HCVC,Jerry Yang,Series A,San Francisco Bay Area,"San Francisco, California",general_partner,100000,1500000,500000,General Partner at HCVC,,,,,10,Hardware Club,"{'id': '5652', 'name': 'MBA', 'field_of_study': 'Finance, GPA 3.98', 'school': {'id': '27500', 'name': 'HEC Paris', 'display_name': 'HEC Paris', 'total_student_count': 15}}","{'id': '51495', 'company_display_name': 'Gideon Brothers', 'total_raised': ['$31M', '€4.9M'], 'coinvestor_names': ['Ivan Zgomba (Plug & Play Ventures)', 'Luca Ascani'], 'investor_profile_funding_rounds': [{'id': '82838', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '45752', 'stage': 'Series A', 'date': '2021-06-08T00:00:00Z', 'amount': '$31M'}}, {'id': '47400', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '27330', 'stage': 'Seed Round', 'date': '2019-10-30T00:00:00Z', 'amount': '€2.7M'}}, {'id': '47399', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '23566', 'stage': 'Seed Round', 'date': '2018-07-23T00:00:00Z', 'amount': '€2.2M'}}]}"
14308,Founder & General Partner at ANIMO Ventures,Nico Berardi,Pre-seed,"Miami, Florida","Miami, Florida",general_partner,500000,2000000,1000000,Founder & General Partner at ANIMO Ventures,,,,,6,Animo Ventures,"{'id': '8343', 'name': None, 'field_of_study': None, 'school': {'id': '25192', 'name': 'Harvard Business School', 'display_name': 'Harvard Business School', 'total_student_count': 310}}","{'id': '55224', 'company_display_name': 'Chooseshift.com', 'total_raised': [], 'coinvestor_names': [], 'investor_profile_funding_rounds': [{'id': '59189', 'is_lead': True, 'board_role': None, 'funding_round': {'id': '33196', 'stage': 'Seed', 'date': '2019-08-12T00:00:00Z', 'amount': '0'}}]}"
10972,,Wayee Chu,Post-seed,San Francisco Bay Area,,general_partner,100000,3000000,1200000,,,,,,7,Reach Capital,"{'id': '7253', 'name': 'BA', 'field_of_study': 'Economics and Political Science', 'school': {'id': '26629', 'name': 'University of Michigan', 'display_name': 'University of Michigan', 'total_student_count': 67}}","{'id': '47590', 'company_display_name': 'Seesaw', 'total_raised': ['$13M'], 'coinvestor_names': ['Bubba Murarka (DFJ)', 'Jennifer Carolan (Reach Capital)', 'Ethan Beard'], 'investor_profile_funding_rounds': [{'id': '51017', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '25385', 'stage': 'Series A', 'date': '2018-02-08T00:00:00Z', 'amount': '$8M'}}, {'id': '51015', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '26222', 'stage': 'Seed Round', 'date': '2013-03-01T00:00:00Z', 'amount': '$5M'}}]}"
8358,General Partner at Theory Ventures,Tomasz Tunguz,Series B,"San Francisco, California","San Francisco, California",general_partner,1000000,25000000,12500000,General Partner at Theory Ventures,,,,,12,Theory Ventures,"{'id': '601', 'name': None, 'field_of_study': None, 'school': {'id': '26577', 'name': 'Northern Highlands', 'display_name': 'Northern Highlands', 'total_student_count': 2}}","{'id': '16563', 'company_display_name': 'Kustomer', 'total_raised': ['$230M'], 'coinvestor_names': ['Adam Rothenberg (BoxGroup)', 'Alex Bard (Redpoint Ventures)', 'David Tisch (BoxGroup)', 'Neeraj Agrawal (Battery Ventures)', 'George Damouny (Plug & Play Ventures)', 'Deepak Kamra (Canaan Partners)', 'Ed Sim (Boldstart Ventures)', 'Gary Benitt (Social Leverage)', 'Eliot Durbin (Boldstart Ventures)', 'Matt Carbonara (Citi Ventures)', 'John Curtius (Cedar Capital Group)', 'George Hu'], 'investor_profile_funding_rounds': [{'id': '45977', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '23741', 'stage': 'Series C', 'date': '2019-01-24T00:00:00Z', 'amount': '$35M'}}, {'id': '32608', 'is_lead': True, 'board_role': None, 'funding_round': {'id': '19250', 'stage': 'Series B', 'date': '2018-06-15T00:00:00Z', 'amount': '$26M'}}]}"
5774,Co-founder and General Partner at Better Tomorrow Ventures,Sheel Mohnot,Pre-seed,Global,San Francisco Bay Area,general_partner,500000,3000000,1500000,Co-founder and General Partner at Better Tomorrow Ventures,,,"Seed stage FinTech, globally.","Adtech, hardware, social networks",36,Better Tomorrow Ventures,,"{'id': '40258', 'company_display_name': 'BenRevo', 'total_raised': ['$2.2M'], 'coinvestor_names': ['Alex Kolicich (8VC)', 'Sam Hodges (Vouch Insurance)', 'Neil Devani (Necessary Ventures)', 'Konstantin von Unger'], 'investor_profile_funding_rounds': [{'id': '39881', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '23297', 'stage': 'Seed Round', 'date': '2017-07-21T00:00:00Z', 'amount': '$1.5M'}}]}"
6732,General Partner at BlueRun Ventures,Jonathan Ebinger,Series A,"Menlo Park, California","Menlo Park, California",general_partner,1000000,4000000,2500000,General Partner at BlueRun Ventures,,,,,6,BlueRun Ventures,,"{'id': '16881', 'company_display_name': 'Coupa Software', 'total_raised': ['$170M'], 'coinvestor_names': [""Brian O'Malley (Forerunner Ventures)"", 'Neeraj Agrawal (Battery Ventures)', 'George Bischof (Meritech Capital Partners)', 'Bryan Stolle (Wildcat Ventures)', 'Charles Beeler (Rally Ventures)', 'Jim Feuille (Crosslink Capital)'], 'investor_profile_funding_rounds': [{'id': '116622', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '4522', 'stage': 'Series F', 'date': '2014-03-20T00:00:00Z', 'amount': '$40M'}}, {'id': '43355', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '4527', 'stage': 'Series E', 'date': '2012-05-10T00:00:00Z', 'amount': '$22M'}}, {'id': '43351', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '4529', 'stage': 'Series D', 'date': '2011-02-15T00:00:00Z', 'amount': '$12M'}}, {'id': '43347', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '4864', 'stage': 'Series C', 'date': '2009-09-01T00:00:00Z', 'amount': '$7.5M'}}, {'id': '43345', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '23217', 'stage': 'Series B', 'date': '2008-04-09T00:00:00Z', 'amount': '$6M'}}, {'id': '43344', 'is_lead': True, 'board_role': None, 'funding_round': {'id': '25153', 'stage': 'Series A', 'date': '2007-03-13T00:00:00Z', 'amount': '$1.5M'}}]}"
8111,Co-Founder & General Partner at Footwork,Nikhil Basu Trivedi,Seed,Global,San Francisco Bay Area,general_partner,1000000,10000000,5000000,Co-Founder & General Partner at Footwork,,,Health and Wellness,I personally am not interested in pre-launch companies.,96,Footwork,"{'id': '4267', 'name': 'A.B.', 'field_of_study': 'Molecular Biology, Finance', 'school': {'id': '25243', 'name': 'Princeton University', 'display_name': 'Princeton University', 'total_student_count': 98}}","{'id': '58276', 'company_display_name': 'Bloomberg Second Measure', 'total_raised': ['$25M'], 'coinvestor_names': ['Kent Bennett (Bessemer Venture Partners)', 'Bhaskar Ghosh (8VC)', 'Luis Valdich (Citi Ventures)', 'Thomas D. Lehrman (Teamworthy Ventures)', 'Tak Miyata (Scrum Ventures)', 'Josh Goldman (Catapult Capital)', 'Jared Friedman (Y Combinator)', 'Joe Greenstein', 'Charlie Songhurst', 'Adrian Aoun', 'Joshua Schachter', 'Ellen Pao'], 'investor_profile_funding_rounds': [{'id': '75687', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '38227', 'stage': 'Seed Round', 'date': '2016-04-05T00:00:00Z', 'amount': '$5.4M'}}]}"
5625,Founding General Partner at Freestyle Capital,David Samuel,Series A,"San Francisco, California","San Francisco, California",general_partner,1000000,4000000,2500000,Founding General Partner at Freestyle Capital,,,Seed-stage Internet Software investments. Opportunistic.,No Hardware.,72,Freestyle Capital,,"{'id': '10704', 'company_display_name': 'SimpleGeo', 'total_raised': ['$9.8M'], 'coinvestor_names': ['Ronald Conway Sr. (SV Angel)', 'Chris Sacca (Lowercarbon Capital)', 'Kevin Rose (True Ventures)', 'Ron Conway (SV Angel)', 'Satish Dharmaraj (Redpoint Ventures)', 'Scott Raney (Redpoint Ventures)', 'Ryan McIntyre (Foundry Group)', 'Rob Hayes (First Round Capital)', 'David Lee (Samsung NEXT Ventures)', 'Gary Vaynerchuk (Vayner RSE)', 'David Cohen (Techstars)', 'Joshua Schachter', 'Darius Contractor', 'Tim Ferriss'], 'investor_profile_funding_rounds': [{'id': '137080', 'is_lead': None, 'board_role': None, 'funding_round': {'id': '5207', 'stage': 'Seed Round', 'date': '2009-11-27T00:00:00Z', 'amount': '$1.5M'}}]}"
5704,,David Wu,Series A,"San Francisco, California",,general_partner,1000000,10000000,6000000,,,,,,8,Maveron,,"{'id': '10381', 'company_display_name': 'Practice Fusion', 'total_raised': ['$160M'], 'coinvestor_names': ['Aydin Senkut (Felicis Ventures)', 'Gary Little (Canvas Ventures)', 'Rebecca Lynn (Canvas Ventures)', 'Auren Hoffman (Flex Capital)', 'Beth Seidenberg (Westlake Village BioPartners)', 'Stuart Peterson (Artis Ventures (AV))', 'Hadi Partovi', 'Jed Stremel', 'Mark Goines', 'Farzad Nazem'], 'investor_profile_funding_rounds': [{'id': '8201', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '2492', 'stage': 'Series A', 'date': '2010-01-06T00:00:00Z', 'amount': '$5M'}}, {'id': '38825', 'is_lead': False, 'board_role': None, 'funding_round': {'id': '21474', 'stage': 'Seed Round', 'date': '2009-03-01T00:00:00Z', 'amount': '0'}}]}"
