title,type,location,people,description
Oklo,Energy,"Sunnyvale, CA, USA",11-50,"The Aurora nuclear reactor, being developed by Okra, is a nuclear power reactor concept design that received a site use permit for testing in 2020 from the United States Department of Energy (DOE). The site use permit, issued in December 2019 is not an Nuclear Regulatory Commission permit. It is the ""first and only permit ever issued in the U.S. to a nuclear plant using something other than a light water (""water-cooled"") reactor"".[1] It will use ""recycled"" high-assay, low-enriched uranium (HALEU) fuel originally fabricated for the Experimental Breeder Reactor II (EBR-II),[2][3][4] and if fully operational, would become ""the first fuel-recycling commercial reactor in the United States"".[5] The DOE's Idaho National Laboratory (INL) said it would provide 10 tons of HALEU for the test reactor which corresponds to most of the available supply.[6] Reprocessing would occur at INL's Materials and Fuels Complex (MFC) and possibly also the Idaho Nuclear Technology and Engineering Center (INTEC), neither of which are operational facilities as of early 2020.[7]

The reactor design is a fast-neutron reactor with heat pipe cooling similar to the NASA Kilopower reactor.[3] According to the designers, the reactor will have a ""large negative temperature reactivity coefficient"", lacks pumps and valves, uses heat pipes for heat removal, has no nuclear refueling intervals and associated core exposure, and its core is buried underground.[8] In presenting its safety design to the Nuclear Regulatory Commission, Oklo quoted a study of the EBR-II, which is a different reactor technology, as being ""inherently protected without requiring emergency power, safety systems, or operator intervention"".[8]

The Aurora is being developed by Oklo Inc.[3] Oklo Inc was founded in 2014 and is a Y Combinator company, with investors including Hydrazine Capital (founded by Sam Altman, with Peter Thiel as its sole limited partner); Facebook’s co-founder, Dustin Moskovitz; Ron Conway of SV Angels; Kevin Efrusy, a technology investor at Accel Partners; Daniel Aegerter, a Swiss investor and entrepreneur, Tim Draper of Draper Associates, Crunchfund, and several smaller investors including early employees of Google and Yahoo."
ZincFive,Energy,United States,11-50,"ZincFive is an intelligent energy storage and delivery solutions company providing nickel-zinc battery based UPS solutions for mission-critical applications in data centers, intelligent transportation, motive power, and other industries. With 74 patents awarded and 29 patents pending, ZincFive leverages nickel-zinc chemistry within our solutions to provide high power density and performance simultaneous with superior safety and environmental advantages. ZincFive was founded in 2016 and is based in Tualatin, Oregon."
Ygrene,Energy,"Petaluma, CA, USA",251-500,"Ygrene started with a simple mission: improve the environment and strengthen communities by removing the barriers to financing energy efficiency home improvement projects. To get there, Ygrene Executive Chairman Dennis Hunter established a new system of financing that helped homeowners make improvements and reduce carbon emissions. Soon after, the Ygrene PACE (Property Assessed Clean Energy) program was born.

In 2010, Ygrene worked with multiple local banks to secure the strong financial partnerships that provide the backbone for Ygrene’s fully-funded model. With the combination of private capital, a wealth of financial expertise and strong relationships with industry leaders, Ygrene is now able to offer affordable and accessible financing to property owners throughout the U.S.

Ygrene is now a national leader in residential and commercial clean energy financing. With over $1 billion in private capital provided to date in 500+ local communities, we have created thousands of jobs and invested millions in local economies across the U.S. Additionally, we helped create the most extensive PACE consumer protection legislation in the country, signifying our commitment to delivering the industry’s highest level of transparency and safeguards for customers. With over 45,700 projects for 69,600+ property owners completed, we are proud to deliver a cleaner and more resilient future to communities everywhere."
XZERES Wind,Energy,"Wilsonville, OR, USA",11-50,"Xzeres Wind is the global leader in distributed energy systems for vital applications that need reliable on-site power. We deliver contemporary energy through renewable sources including our proven wind-solar hybrid technology. Commercial scale small-wind solutions are the heart of our offerings, including our multi-certified Skystream turbines for varying applications"
Aquicore,Buildings,"Washington D.C., DC, USA",51-100,"Who we are
Aquicore was founded in 2013 in the early hours of the morning on the belief that smarter and more connected buildings will have a global impact in curbing our climate challenges and make buildings technologically ready for the next century.

We create global impact by bettering the built environment every day.

Our next generation of software which facilitates smarter building operations is used by the largest real estate owners and operators around the world. We are changing the industry from the ground up and we’re looking for the right people to achieve our mission!

We’re amped by the work we do and driven to constantly propel our values and culture. While awards aren’t the goal, we are humbled to be recognized as one of the coolest places to work by organizations such as DC Inno. Our people come first and it’s the combination of our culture and our mission that has been our greatest differentiator. We take our core values as a company seriously and aspire to level-up our Aquicorians in their careers and professional growth."
wEarthwhile,Advocacy or Policy,United States,11-50,"WearthWhile seeks to reconnect humanity back to Earth by addressing the issues facing the environment and, consequently, those in it. Work in the humanities is a real path for change because political marketing doesn’t appeal to people’s emotions the way that art and stories do. And it seems like getting people to connect to their own humanity and feelings is essential to our ability to connect and have compassion for others. We don’t want to distract, overwhelm, or create burden by adding more to social media with the endless stories surrounding the social sphere; the intention is to replace the focus back on the faces of the change. We don’t expect to approach society as what we think we want them to think, but instead what we want them to do and let them form what they should do.
| This is an intergenerational fight. We don’t want to have reform that will end climate change and environmental struggles by 80%. We want 100% improvement. To humanize the lives of climate change. To put a face to its impacts. To shine a light on the mostly unseen. |

Social photography … let there be light.
WearthWhile embodies social photography to shine a light on stories that aren’t accessible to the public. Our aim is to create a tool that primes for social reform or even a revolutionary movement. To be a part of that transition to fundamentally change how society views climate change and what is being done about it. The photoblog platform establishes positive and progressive discussion; at the heart of that is to include and recognize that people have feelings, experiences, beliefs, and inner conflicts that influence the way they perceive and assimilate information. The internet offers opportunities for greater transparency and public participation in our changing climate. WearthWhile is a photoblog [story platform] that gives back the voice to the people. The commitment through this organization is to put emphasis on the opinions, impacts, and experiences of people dealing with climate change and environmental problems. Narrative offers a powerful means to engage an audience and convey complex concepts. Stories employ the elements of successful narratives, including personalizing their story, drawing on emotions, and expressing their opinions. Dialogue rather than a debate offers the means to identify common purpose and foster constructive, evidence-based discourse."
Heila Technologies,Energy,"Boston, MA, USA",11-50,"The U.S. electricity system is struggling to adapt to the physical and political stresses of climate change and demands for greater efficiency, resiliency and community independence and control. The Heila Platform makes it possible for communities to literally grow lower cost, lower carbon microgrid solutions from the ground up.
Combing deep theoretical knowledge and practical industry experience, the team at Heila Technologies and is dedicated to simplifying the integration and operation of microgrids.
The company is actively working with vendors, developers, property owners, utilities and clean energy evangelists to establish the Heila Platform as the open standard through which all of us can collectively contribute to, and profit from, the rapid development of a greener and more resilient power production and distribution services."
Sunpower,Energy,"San Jose, CA, USA",5001-10000,"SunPower Corporation delivers high-performance solar electric systems worldwide for residential, commercial and utility-scale customers."
BrainBox AI,Buildings,"Montreal, QC, Canada",11-50,"We are proud to be at the forefront of a new era in building automation and a leader in the green building revolution. Located in Montreal, Canada, a global AI hub, our team is comprised of experts in the fields of AI, data science, real estate, HVAC and energy efficiency.
We are driven by the fact that 20% of global greenhouse gas emissions originate from buildings and that HVAC systems are responsible for over 50% of those emissions. Without serious intervention, these gases will only continue to rise, having detrimental impacts on our environment. At BrainBox AI we are fighting climate change by bringing innovation and cutting-edge artificial intelligence to the built environment, making buildings smarter and greener."
Sidewalk Infrastructure Partners,Buildings,"New York, NY, USA",11-50,"Sidewalk Infrastructure seeks to transform urban systems through technology. Sidewalk Infrastructure holds, operates, and invests in advanced infrastructure projects, as well as the technology companies applying innovations to these projects. Formed as a new spin-out company of Sidewalk Labs, the urban innovation business of Alphabet Inc. (Google’s parent company), Sidewalk Infrastructure believes in technology’s ability to make infrastructure more sustainable, intelligent, and efficient."
ZAF Energy Systems,Energy,"Joplin, MO, USA",11-50,"Our mission is to deliver proven energy storage solutions. We will accomplish our mission through innovation in, and production of, safe, and sustainable battery technologies which deliver superior performance and value that results in widespread customer acceptance. Through laser focus, dedication and execution, our team is committed to improving the sustainability of our planet and the lives of millions"
RWDC Industries,Materials & Manufacturing,"Athens, GA, USA",51-100,"RWDC develops biodegradable bioplastic that can be used to make cutlery, drinking straws and cup lids, foodand beverage packaging, as well as diapers, among other things. It produces medium-chain-length polyhydroxyalkanoate(mcl-PHA), which are naturally produced by bacterial fermentation of plant-based oils or sugar. RWDC’s PHA is certified to be fully biodegradable in soil, water and marine conditions."
Factory Farming Awareness Coalition,Advocacy or Policy,United States,11-50,-
Generate Capital,Energy,"San Francisco, CA, USA",51-100,"Founded in 2014, Generate builds, owns, and operates sustainable infrastructure to deliver affordable and reliable resource solutions for companies, governments, and communities. Generate currently has more than 25 technology and project development partners and serves more than 400 companies, universities, school districts, cities, and non-profits across North America. We build, own, operate and finance assets in:
- Sustainable Energy (microgrids, solar, energy storage, lighting, HVAC systems, fuel cells, geothermal, biomass & biogas, building automation & sensors, heat pumps, smart meters)
- Sustainable Mobility (electric vehicles, hydrogen vehicles, autonomous vehicles, charging depots & infrastructure, fleets)
- Sustainable Water, Waste & Agriculture (anaerobic digesters, wastewater treatment, desalination, food waste management, recycling/reuse, precision agriculture, farm automation, irrigation, sensors & meters).
To join the Infrastructure Revolution, visit generatecapital.com."
Zume Inc.,Materials & Manufacturing,"Mountain View, California, United States",101-250,"Zume is on a quest to be the most powerful source of health and well-being on the planet. They started by partnering people with technology to create a more thoughtful and efficient way to source, make, bake and deliver pizza. In the process, they are delivering an artisan pizza that takes care of the people who eat it and make it, and even takes better care of the planet we all love—a planet nearly 10 billion people will inhabit by 2050. The health and well-being of people and our planet is dependent upon sustainably feeding that population with wholesome, affordable food on a global scale. Zume is meeting this challenge with an end-to-end, scalable platform that reduces the time and distance between clean food sources and dense population centers, using cutting-edge automation and transportation logistics. By developing better tools and processes, they can feed people healthier, sustainably-grown food, delivered fresh and free from chemical stabilization."
Sila Nanotechnologies,Energy,"Alameda, California, United States",101-250,"Sila Nanotechnologies is an electronics company that offers new battery materials chemistry. It works directly with leading consumer electronics and automotive OEMs to help accelerate product roadmaps, and partners with battery manufacturers commercial cell production. The company was founded in 2011 and headquartered in California, United States."
Hannon Armstrong,Energy,"Annapolis, Maryland, United States",51-100,"Hannon Armstrong (NYSE: HASI) focuses on making investments in climate change solutions by providing capital to the leading companies in the energy efficiency, renewable energy and other sustainable infrastructure markets. Our goal is to generate attractive returns for our stockholders by investing in a diversified portfolio of investments that generate long-term, recurring and predictable cash flows from proven commercial technologies. Based in Annapolis, Maryland, Hannon Armstrong is proud to be the first U.S. public company solely dedicated to investments that reduce carbon emissions or increase resilience to climate change."
Sighten,Energy,"San Francisco, California, United States",11-50,"Sighten develops a software toolset to manage the complexity of distributed solar. It offers a platform that spans the entire lifecycle of a solar asset ranging from tools that streamline origination, system design, and sales/operations to features that automate ongoing reporting and analytics. Sighten also offers a reporting and analytics portal that brings solar up to speed with mature asset classes and real-time access to data and analysis tools; a pricing engine that accommodates the complexity of the structures used to finance solar and allows for sophisticated asset pricing logic and decisioning; and a downstream toolset that allows organizations to sell solar more effectively and manage the entire financing workflow from lead to operating asset. Its customers include tax equity investors, lenders, finance companies, developers, and installers. Conlan O'Leary and Graham Hommel founded Sighten in 2012. It has its headquarters in San Francisco in California."
Solstice,Energy,"Cambridge, Massachusetts, United States",11-50,"Solstice provides turnkey customer solutions for shared solar. It also offers subscriber aggregation and management services to solar developers, utilities, and other providers of shared solar energy. Employing community organizing techniques and the nation's first online marketplace and customer management platform for shared solar, Solstice leverages network effects to aggregate consumer demand and put more solar in the ground. Solstice goal is o use community solar to help these groups meet one another and to unlock the possibility of solar power for these households. It has received the MassChallenge Silver Award, Kia Revisionaries Award, and Gold Stevie Award. Solstice was founded in 2014 and is headquartered in Cambridge, USA."
Pattern Energy Group,Energy,"San Francisco, California, United States",101-250,"Pattern is a premium independent power company. We own and operate eight wind power projects in the United States, Canada and Chile that use proven, best-in-class technology and have a total owned capacity of 1,041 MW. These projects generate stable long-term cash flows in attractive markets that have strong growth potential. Each of our projects has contracted to sell all of its energy output, or a majority, on a long-term, fixed-price power sale agreement with a creditworthy counterparty. Ninety-five percent of the electricity to be generated by our projects will be sold under these power sale agreements, which have a weighted average remaining contract life of approximately 19 years."
Fenix International,Energy,"San Francisco, California, United States",51-100,"Fenix International produces ultra-affordable mobile enabled solar solutions to empower more than 1.3 billion people living off-grid. Fenix is a for-profit corporation based in San Francisco, California with customers across Africa, Asia and Latin America and core expertise in power electronics, product design and base-of-the-pyramid marketing. Fenix has been prominently featured in the New York Times, Bloomberg, Fast Company, Popular Mechanics, CNET, VentureBeat, and has won numerous awards and honors since it was founded in 2009."
Sparkfund,Energy,"Washington, District of Columbia, United States...",11-50,"SparkFund is a financial technology company located in Washington, DC that lets businesses pay over time for energy efficient products and services. SparkFund builds the software and tools necessary to sell products ""As a Service"". Vendors increasingly want to sell their products ""As a Service"". This mode of sale ensures the customer sees a simple monthly payment that is lower than the financial benefits created by the product. All the complexity of ownership, software, analytics, and O&M are kept behind the curtain, driving significant growth in sales."
Square Roots Urban Growers,"Food, Agriculture, & Land Use","Brooklyn, New York, United States",101-250,"Our Food
We are an indoor urban farming company connecting people in cities to local, real food. Our quality fresh produce—grown without pesticides or GMOs—is available at grocery stores and restaurants in the same communities as we build our farms.
Our Technology
Square Roots is building a scalable farm-tech platform to enable the sustainable, distributed and resilient food system that our near-future needs. Our farmers work in harmony with our technology to grow real food, predictably and consistently, in any location, all year round.
Our People
At the heart of Square Roots is our team, growing and distributing fresh food with love and care, while opening new pathways for more young people to enter the urban agriculture industry—and become its future leaders."
Voltaiq,Energy,"Berkeley, California, United States",11-50,"Voltaiq offers a battery intelligence analytics platform that provides insights about batteries. It offers its services for battery OEMs, consumer electronics, automotive, and grid-scale energy storage industries. Voltaiq was founded by Tal Sholklapper and Eli Leland in 2012. It is based in Berkeley, California."
Nexamp,Energy,"Boston, Massachusetts, United States",51-100,"Nexamp is leading the transformation to the new energy economy with proven solutions for the deployment and operation of solar energy assets. Our comprehensive capabilities span the entire solar project lifecycle ‚Äì from project development, design and construction, through financing, operations and maintenance. Our integrated, best-in class solutions make solar energy simple and profitable for our clients and partners, and make an impact every day. With a rapidly expanding network of property owners, businesses, communities and residents benefitting from our growing portfolio of solar assets across the US, Nexamp is laying the groundwork for a cleaner, more secure energy future."
SkySpecs,Energy,"Ann Arbor, Michigan, United States",11-50,"SkySpecs automates the inspection, diagnostics, and maintenance of utility scale wind turbines with custom autonomous drones. The company develops an affordable form of energy, through the use of an automated drone inspection service and analytics platform that allows for repeatability, high-quality data, and safer inspections. SkySpecs was founded on 2012 and is based in Ann Arbor, Michigan."
Modern Meadow,Materials & Manufacturing,"Brooklyn, New York, United States",11-50,"Modern Meadow is developing fundamentally new approaches to growing animal products. This includes cultured leather and meat products which require no animal slaughter and much lower inputs of land, water, energy and chemicals."
Volta Charging,Energy,"San Francisco, California, United States",101-250,"We set out to accelerate the arrival of EV charging. We built the most utilized EV charging network in the US – offering free charging to drivers wherever they like to be. Our growing network of charging stations reaches millions of qualified customers with premium place-based, interactive content in a sustainable format. Our stations double as an ad platform that increases the value of real estate by engaging new audiences and telling high impact stories using sustainable technology. Our mission is to build out the future of EV charging infrastructure with stations at the places you already visit. It's powered by sustainable technology and a team of innovative partners. It's seamless, simple and free. Refueling no longer needs to be disruptive."
Dandelion Energy,Energy,"New York, NY, USA",11-50,"Dandelion is a home geothermal company offering affordable geothermal installations that provide heating, cooling and hot water to homes by exchanging heat with the ground beneath them. Dandelion became an independent company in Spring 2017, after getting started at X , ""the innovation engine of Alphabet.""​"
Project Drawdown,Research & Education,Remote,11-50,"Founded in 2014, Project Drawdown is a nonprofit organization that seeks to help the world reach “Drawdown”— the future point in time when levels of greenhouse gases in the atmosphere stop climbing and start to steadily decline.

Since the 2017 publication of the New York Times bestseller, Drawdown, the organization has emerged as a leading resource for information and insight about climate solutions. We continue to develop that resource by conducting rigorous review and assessment of climate solutions, creating compelling and human communication across mediums, and partnering with efforts to accelerate climate solutions globally.
Cities, universities, corporations, philanthropies, policymakers, communities, educators, activists, and more turn to Project Drawdown as they look to advance effective climate action. We aim to support the growing constellation of efforts to move climate solutions forward and move the world toward Drawdown—as quickly, safely, and equitably as possible.
A 501(c)(3) nonprofit organization, Project Drawdown is funded by individual and institutional donations.

Our Vision

Stopping global warming is possible, with solutions that exist today. In order to do this, we must work together to achieve Drawdown, the point when greenhouse gas levels in the atmosphere start to decline.

Our Mission

Project Drawdown is helping the world stop global warming by achieving Drawdown — as quickly, safely, and equitably as possible.

Our History

Project Drawdown was initially co-founded in 2014 by Paul Hawken and Amanda Ravenhill to uncover the most substantive solutions to stop climate change, and to communicate them to the world."
Redaptive,Energy,"San Francisco, CA, USA",11-50,"Redaptive makes buildings more efficient one saved kilowatt hour at a time. We are breaking down the barriers to portfolio-wide energy efficiency deployments through our Efficiency-as-a-Service (EaaS) platform – empowering companies to optimize their real estate portfolios and save millions on their energy bills. Our EaaS platform builds the foundation for future investments in both resource efficiency and smart building innovation. Founded in 2014, Redaptive manages a national portfolio of energy efficiency projects across 30+ states for leading F500 companies like, McKesson and Aramark, among others. Redaptive has received funding from CBRE, the world’s largest commercial real estate services and investment firm, ENGIE, a global energy player, GXP Investments, the venture capital arm of Great Plains Energy Incorporated, and Linse Capital, a Silicon Valley-based growth capital firm. Headquartered in San Francisco, California, our creative team of business and technology experts is at the core of our success in delivering a groundbreaking platform to accelerate energy efficiency adoption."
