,,,,,,,
,,,,,,,
Company Name,Company url,Job page link,Job Title,Image Path,Location,Salary,Benefits
H&M,https://se.linkedin.com/company/h&m?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/lease-administrator-at-h-m-3746777607?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=uMJrtnaC0XhIA5YrCVselA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Lease Administrator,https://media.licdn.com/dms/image/C4E0BAQHq33akTF76eA/company-logo_100_100/0/1679061165891/hm_logo?e=2147483647&v=beta&t=bhvfLTTvtRlSPPGxo4BbFZLfniE89pCwLEAk4udlViY,"New York, NY",_,Be an early applicant
Tree Top Staffing LLC,https://www.linkedin.com/company/tree-top-staffing-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/human-resources-manager-at-tree-top-staffing-llc-3746768723?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=TKdV3Q8%2FyEb4X0EWSjJbRA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,Human Resources Manager,https://media.licdn.com/dms/image/D560BAQGpyPV0289-Xw/company-logo_100_100/0/1694106491621?e=2147483647&v=beta&t=EeJqZG8gkucT3t6ELSSIbKgY0ELEPjI6EP4fhEpJHjE,United States,_,"Medical insurance
           +11 benefits"
Rix Pool & Spa,https://www.linkedin.com/company/rix-pool-&-spa?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/general-laborer-helper-at-rix-pool-spa-3746767789?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=5HIZ%2BpNiB%2FMi%2FHmfl%2FnsFA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,General Laborer Helper,https://static.licdn.com/aero-v1/sc/h/9a9u41thxt325ucfh5z8ga4m8,"East Hanover, NJ",_,Be an early applicant
Chime,https://www.linkedin.com/company/chime-card?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/senior-manager-business-operations-at-chime-3746784677?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=Yh4fCUxnDs2yB9z5KPiBKw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"Senior Manager, Business Operations",https://media.licdn.com/dms/image/C560BAQHrNpL2djW5Xw/company-logo_100_100/0/1657036138290/chime_card_logo?e=2147483647&v=beta&t=xsanG0wjjcHBZGg2BW4xVrohQb8Prg8MyvPAlvNwNsc,"San Francisco, CA",_,Be an early applicant
CRS,https://uk.linkedin.com/company/crs?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/service-desk-technician-at-crs-3746765201?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=CRz6hAHMKVwOk6stRNq%2FFw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,Service Desk Technician,https://media.licdn.com/dms/image/C4D0BAQHKihYa77Kzvw/company-logo_100_100/0/1519927475825?e=2147483647&v=beta&t=qYrLdmA-SeCrBOgzyW-ZyE-gXw-1omcu3hYFXOI72CA,"Wheeling, IL",_,Be an early applicant
Jacent Technologies,https://www.linkedin.com/company/jacent-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/merchandiser-at-jacent-technologies-3746769501?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=gFF2WOVV96NT%2F6BRhIV%2Fgw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,Merchandiser,https://static.licdn.com/aero-v1/sc/h/9a9u41thxt325ucfh5z8ga4m8,"Auburn, AL",_,Be an early applicant
Mican Technologies Inc.,https://www.linkedin.com/company/mican-technologies?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/healthcare-data-analyst-at-mican-technologies-inc-3746913107?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=B%2FjI8t3qZJQsjPm8XSNUwg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,Healthcare Data Analyst,https://media.licdn.com/dms/image/D4E0BAQEsiEQRDdDYFw/company-logo_100_100/0/1688742430434?e=2147483647&v=beta&t=JjSVhLNH2nXcPbholNu1WeahLG190ew_oVU0-2veLCk,United States,_,Be an early applicant
Ruth's Chris Steak House,https://www.linkedin.com/company/ruth%27s-chris-steak-house?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/server-assistant-busser-at-ruth-s-chris-steak-house-3746780349?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=ossCZH94O70pHPZ7Lyf0OA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,Server Assistant (Busser),https://media.licdn.com/dms/image/C4E0BAQE-1ulXiBb9IQ/company-logo_100_100/0/1676741174068/ruths_chris_steak_house_logo?e=2147483647&v=beta&t=l2x8HQC4QfRiCP02R0siMTe2QNQNCOcuhrtfR4abwy8,"Fairfax, VA",_,Be an early applicant
"Rubio's Restaurants, Inc.",https://www.linkedin.com/company/rubios-coastal-grill?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/cook-at-rubio-s-restaurants-inc-3746906328?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=OnlEWUZCTku8VVQPryFcXw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,Cook,https://media.licdn.com/dms/image/C560BAQGcRGElOxsi2Q/company-logo_100_100/0/1672853672373?e=2147483647&v=beta&t=oMBt5GNisIU8g_UX7fWU09fr6kI5a2rzkOoGF2PvzpA,"Solana Beach, CA",_,Be an early applicant
ConsultingDirect,https://www.linkedin.com/company/consultingdirect?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/buyer-at-consultingdirect-3746775607?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=RUh7ADqbQItGHyPtEePRzQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,Buyer,https://media.licdn.com/dms/image/D4E0BAQEbOdfhjY_5og/company-logo_100_100/0/1666617559317?e=2147483647&v=beta&t=HuGuGxm4MIp2WtYONopULTPPtgzNKTQCOdq80SFHZN4,"Pennsylvania, United States",_,Be an early applicant
Spencer Ogden,https://uk.linkedin.com/company/spencerogden?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/private-equity-associate-at-spencer-ogden-3746776662?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=UypneptTH%2BFwtgg2Jvqxyw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Private Equity Associate,https://media.licdn.com/dms/image/D4E0BAQGF_ZjRtSVQvQ/company-logo_100_100/0/1688378454926?e=2147483647&v=beta&t=0EUmy9ZWtBY2YO3qgrtkZclvdFoO_xZF_xCz_mWJdtE,"Austin, Texas Metropolitan Area",_,Actively Hiring
Guided Discoveries,https://www.linkedin.com/company/guided-discoveries?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/maintenance-at-guided-discoveries-3746767764?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=bjXFIwCVUDL5KGjhoW78fw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,Maintenance,https://media.licdn.com/dms/image/C4D0BAQF9Ik8NonHJIg/company-logo_100_100/0/1519922010746?e=2147483647&v=beta&t=z14AInaACbJ6YOQ4PUH2Y82wvHGg5EiYcGJ1ChtFt-U,"Avalon, CA",_,Be an early applicant
CapMetro,https://www.linkedin.com/company/capital-metro?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/coordinator-social-media-communications-at-capmetro-3746763314?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=MHBFludaHF3QRvAc8rX61A%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"Coordinator, Social Media & Communications",https://media.licdn.com/dms/image/C4E0BAQEc_xgl0gK2Ow/company-logo_100_100/0/1645484358088/capital_metro_logo?e=2147483647&v=beta&t=yEQQtNEBjLDMzQzbAjVQRp61M945PophkK7Y2bcWB4I,"Austin, TX",_,Be an early applicant
Comfort Keepers,https://www.linkedin.com/company/comfort-keepers?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/caregiver-at-comfort-keepers-3746772352?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=Ml8jPjT1ZBnzQRGcb2fUAg%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,Caregiver,https://media.licdn.com/dms/image/C4D0BAQEDa83bIO-pIA/company-logo_100_100/0/1539624232593/comfort_keepers_logo?e=2147483647&v=beta&t=8KgDq3vYBI_iN9vHS7oLQg494hYPje3f4y4JHD3Qd_E,"Spartanburg, SC",_,Be an early applicant
Aqua Marketing & Communications,https://www.linkedin.com/company/aqua-marketing-&-communications-inc.?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/social-media-assistant-at-aqua-marketing-communications-3746771284?refId=%2FJ1%2BQ%2B%2F49EVBTfTGsIhBbA%3D%3D&trackingId=5MFBEXV6J9er8zIuTPa8Qg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,Social Media Assistant,https://media.licdn.com/dms/image/C560BAQHaQaVGONLWog/company-logo_100_100/0/1519877426777?e=2147483647&v=beta&t=92K1yNRtmraGvcym4IksyYFPhDIFXnw5Q8uhZTGW0F8,"Fort Lauderdale, FL",_,"Be an early applicant
           +5 benefits"
Wear N Wear,https://www.linkedin.com/company/wear-n-wear?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/virtual-assistant-at-wear-n-wear-3746769535?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=8A%2BeZtlGMXcQaGoczvKSSg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,Virtual Assistant,https://media.licdn.com/dms/image/D4D0BAQGcCMw4PVvTtw/company-logo_100_100/0/1697222996315?e=2147483647&v=beta&t=94cldjQUVNP2rs3oJEULnH68kiNPNBJJ6krX0S9iBlo,United States,_,_
Northbound Executive Search,https://www.linkedin.com/company/northbound-executive-search?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/office-manager-executive-assistant-private-equity-nyc-at-northbound-executive-search-3746785600?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=8DkRV%2B7PtNPoAsr0v0FKUg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,Office Manager/Executive Assistant - Private Equity - NYC,https://media.licdn.com/dms/image/C560BAQGN6GKqOPHUdg/company-logo_100_100/0/1519861062351?e=2147483647&v=beta&t=HzImev-LNx3Z07V95nY0rQwNtk1aUGwcjfHwGdM5sw4,New York City Metropolitan Area,"$80,000 - $100,000","Be an early applicant
           +4 benefits"
San Antonio ISD,https://www.linkedin.com/company/saisd?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/employee-relations-director-at-san-antonio-isd-3746771483?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=%2BT%2BvUb4vhRfbUsNy1u5x2w%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,Employee Relations Director,https://media.licdn.com/dms/image/C560BAQHTxPzml8wF5g/company-logo_100_100/0/1519856197084?e=2147483647&v=beta&t=R-v1USscro-1YKHk27Q8RxptW5Qjp1brEij-xvCCrCg,"San Antonio, Texas Metropolitan Area",_,"Be an early applicant
           +4 benefits"
"Clover Leaf Solutions, LLC",https://www.linkedin.com/company/clover-leaf-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/benefits-analyst-at-clover-leaf-solutions-llc-3746770418?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=sdSWs55pmU0%2FqciCw7yLqA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,Benefits Analyst,https://media.licdn.com/dms/image/C4E0BAQHbinUPS9CRSA/company-logo_100_100/0/1601998951060?e=2147483647&v=beta&t=fEhx-I4w55GrICqPNV9aCgudnSPGSzssc7NUd0Dc0dI,United States,_,Actively Hiring
Oak View Group,https://www.linkedin.com/company/oak-view-group?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/assistant-general-manager-simmons-bank-liberty-stadium-at-oak-view-group-3746785800?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=nRZm7fnfGKh2QBQAVJ5cPg%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,Assistant General Manager | Simmons Bank Liberty Stadium,https://media.licdn.com/dms/image/C560BAQET1Nb0JyiUoA/company-logo_100_100/0/1657226172688?e=2147483647&v=beta&t=KedZZu4zxjc6AGraipmIAonTisFd9yhH9_EbGcL1MAU,"Memphis, TN",_,Be an early applicant
Henderson Harbor Group,https://www.linkedin.com/company/henderson-harbor?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/controller-%24165k%2B-at-henderson-harbor-group-3746785641?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=H86YpJ4v2sykAYn6%2Fdo6uQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,Controller - $165K+,https://media.licdn.com/dms/image/C4D0BAQH3mf7URmC5gQ/company-logo_100_100/0/1519920469907?e=2147483647&v=beta&t=LMfzo5iuTvPcv21HNjq4uzzfuDK4sN56rNsYTOhcdu0,"New York, NY",_,Be an early applicant
WiTricity,https://www.linkedin.com/company/witricity-corporation?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/vice-president-of-operations-supply-chain-logistics-at-witricity-3746777551?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=hB8%2B91jhaYHTNUF5b%2BAf%2Bw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,"Vice President of Operations, Supply Chain & Logistics",https://media.licdn.com/dms/image/C560BAQG4i6wbbXWebw/company-logo_100_100/0/1658786387049/witricity_corporation_logo?e=2147483647&v=beta&t=2EI7fOx_Tpka049jptO7EgJbJ0Ct-c45ULLlAHyBJCE,"Watertown, MA",_,Be an early applicant
Chicken & Egg Pictures,https://www.linkedin.com/company/chicken-&-egg-pictures?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/communications-director-at-chicken-egg-pictures-3746762577?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=1SC8Mb8Cp%2FKszIC5B%2FGl0g%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,Communications Director,https://media.licdn.com/dms/image/C560BAQHZ3AVa25vZnQ/company-logo_100_100/0/1519863281545?e=2147483647&v=beta&t=bYGSPlWZ9u0nrgFkzgizOBt4WQEH7BO20_01QtIkyQM,"New York, NY",_,Be an early applicant
Snowflake,https://www.linkedin.com/company/snowflake-computing?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/recruiting-coordinator-contract-at-snowflake-3746908183?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=PXfv2ipAX5DQEzxzeM1qkw%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,Recruiting Coordinator (Contract),https://media.licdn.com/dms/image/D560BAQF3mYS3WqCB3g/company-logo_100_100/0/1688575708423/snowflake_computing_logo?e=2147483647&v=beta&t=Gg_M5efb4hIl4IeGaRD8pnsPOUtICE3ALEFhdGOIZvo,"Bellevue, WA",_,Be an early applicant
Northbound Executive Search,https://www.linkedin.com/company/northbound-executive-search?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/administrative-manager-executive-assistant-at-northbound-executive-search-3746783706?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=BGU9v68DDu6LR1avKaVhng%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,Administrative Manager/Executive Assistant,https://media.licdn.com/dms/image/C560BAQGN6GKqOPHUdg/company-logo_100_100/0/1519861062351?e=2147483647&v=beta&t=HzImev-LNx3Z07V95nY0rQwNtk1aUGwcjfHwGdM5sw4,New York City Metropolitan Area,"$120,000 - $160,000","Actively Hiring
           +4 benefits"
The CARIAN Group,https://www.linkedin.com/company/carian-group?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/project-management-analyst-assistant-project-manager-at-the-carian-group-3746791022?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=H6mwaHM7SanhfoeC2ZqlCg%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,Project Management Analyst / Assistant Project Manager,https://media.licdn.com/dms/image/C4E0BAQFKNHUfylkBNQ/company-logo_100_100/0/1620316229015?e=2147483647&v=beta&t=dnsPN-tgDANIekfUqD_8leaAKUiuulGnkpiqzgdz7jY,Washington DC-Baltimore Area,_,Be an early applicant
Two Roads Brewing Company,https://www.linkedin.com/company/two-roads-brewing-company?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/brew-crew-rhode-island-at-two-roads-brewing-company-3746750784?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=7xOHR%2BM7OxKhb603m89mdg%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,Brew Crew - Rhode Island,https://media.licdn.com/dms/image/C4E0BAQFwCx5ddYEFMw/company-logo_100_100/0/1625668153503?e=2147483647&v=beta&t=Q5O6kB4J7KYoYJ40n8k-dbhLOReb1CFHc3nvsz6EYHY,"Pawtucket, RI",_,Be an early applicant
iPromo,https://www.linkedin.com/company/ipromo?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/sales-director-promotional-product-industry-at-ipromo-3746760198?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=oPtJJvtCDV4BTzgXDPiaDw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card,Sales Director - Promotional Product Industry,https://media.licdn.com/dms/image/C4E0BAQHv9HYABbOfBQ/company-logo_100_100/0/1589830648841?e=2147483647&v=beta&t=9CMXdU69sFfzoeQ9qlBHk8pQ_Fh7zuL0FDkp66wezqM,"New York, NY",_,Be an early applicant
Eleventh Hour,https://www.linkedin.com/company/eleventh-hour?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/project-manager-music-at-eleventh-hour-3746760467?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=i4cWTX0zyinR2p%2FHDjEaUw%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card,Project Manager - Music,https://media.licdn.com/dms/image/D560BAQGGgi2oaMIh3A/company-logo_100_100/0/1695406457579/eleventh_hour_logo?e=2147483647&v=beta&t=qxsYFB3YKqmbbKMGKN9B4GAc6mLhtPHMeRTXe_2Ukfo,"Culver City, CA","$70,000 - $90,000",Actively Hiring
ANOTECH USA,https://www.linkedin.com/company/anotech-energy-usa?trk=public_jobs_jserp-result_job-search-card-subtitle,https://www.linkedin.com/jobs/view/human-resources-coordinator-at-anotech-usa-3746772080?refId=yX2PeEA4QIrrov1w85X9Pw%3D%3D&trackingId=x6zi7NQ4iJTn0gn1Pvr3kA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card,Human Resources Coordinator,https://media.licdn.com/dms/image/C4E0BAQE1iDYp-94CQg/company-logo_100_100/0/1668597043764?e=2147483647&v=beta&t=fw6M8jWgTbWX11d8upPafnZndgcqQ1cZnGD5ZZYJ95o,"Houston, TX",_,"Actively Hiring
           +4 benefits"
