Inventor name,0
Abbott; William,1
Shu; Bin et al.,1
Si; Kuangshu et al.,1
Sinclair; Michael et al.,1
Sites; Lowell Zane,1
Slavazza; Dario et al.,1
Slaybaugh; Russell C. et al.,1
Smith; Jacob,1
Soley; Rick,2
Song; Changyou,2
Song; Tao,1
Speece; Richard E.,1
Srbinovski; Paul et al.,1
Stevenson; Tim Lee,1
Stoutt; Elliott et al.,1
Stroh; Isaac,1
Subramanyam; Sundaresan,3
Sully; Melissa,1
Sung; Tae Hyun et al.,1
Surinphong; Surasak,1
Tait; Simon et al.,1
Takeuchi; Kinji,2
Tam; Cze-Chao,1
Tam; Cze-Chao et al.,1
Tam; Paul,1
Tan; Jie et al.,1
Tan; Xuneng,2
Thaveeprungsriporn; Visit et al.,1
Thiele; Mayne,2
Thomas; Roger et al.,2
Tian; Song et al.,1
Tonkin; Bradley,1
Tsai; Hsien-Yi,1
Tsai; Hsien-Yi et al.,1
Tsai; Kevin et al.,4
Turatti; Antonio,1
Van Dommele; Stefan et al.,1
Vance; Julian et al.,1
Vincenti; Nicholas et al.,1
Voss; Barry et al.,2
Voss; Murray et al.,1
Walker; Peter,1
Wallis; Greg,1
Wang; Chia-Hung,2
Wang; Chia-Hung et al.,1
Wang; Chih-Lun et al.,1
Wang; Desheng,3
Wang; Naishu et al.,7
Wang; Pengfei et al.,1
Warren; Nigel,1
Wei; Wei-Hsin,1
Wei; Wei-Hsin et al.,1
Weisel; Thomas et al.,1
Wells; Neil,1
Whalley; Jessica et al.,1
Whiffin; Sean,1
Wichitamornloet; Arthorn,1
Wichitamornloet; Arthron et al.,1
Wigfield; Jeffrey S.,1
Wilkeson; Shaun,1
Wong; Raphael et al.,1
Wu; Chun-Sheng,1
Wu; Haikun,2
Wu; Hao et al.,3
Wu; Jingdong,7
Wu; Jun et al.,1
Wu; Miaoyu et al.,1
Wu; Qun et al.,1
Wu; Zhiguang et al.,1
Wurman; Peter et al.,1
Xiao; Guopu,1
Xiao; Hang et al.,1
Xie; Pengcheng et al.,1
Xu; Guodu et al.,1
Xu; Na,1
Xu; Yang et al.,1
Yang; Kansheng et al.,1
Yeddala; Kiran et al.,1
Yeh; Chih-Hsien et al.,1
Yoon; Andre S. et al.,2
Yu; Chia-Fang,1
Yu; Liang-Pin et al.,2
Yu; Zhenyu et al.,1
Yuan; Shijian et al.,1
Yun; Xianyu et al.,2
Zeng; Tao et al.,1
Zhang; Bo et al.,1
Zhang; Hailong et al.,1
Zhang; Jie et al.,1
Zhang; Jing,1
Zhang; Jinhui,1
Zhang; Xiao-Di,1
Zhao; Yangyang,1
Zhen; Kunhua,2
Zheng; Yong,1
Zhou; Liqun,1
Zhu; Jianjun,5
Zhu; Yixiang et al.,1
